date,open
2015-11-25,70.62
2015-11-26,70.55
2015-11-27,69.99
2015-11-28,70.27
2015-11-29,69.99
2015-11-30,69.8
2015-12-01,69.54
2015-12-02,69.51
2015-12-03,69.76
2015-12-04,69.05
2015-12-05,69.405
2015-12-06,69.05
2015-12-07,68.58
2015-12-08,68.21
2015-12-09,68.51
2015-12-10,68.54
2015-12-11,68.34
2015-12-12,68.44
2015-12-13,68.34
2015-12-14,68.08
2015-12-15,68.67
2015-12-16,68.8
2015-12-17,69.2
2015-12-18,68.15
2015-12-19,68.67500000000001
2015-12-20,68.15
2015-12-21,68.03
2015-12-22,68.08
2015-12-23,68.67
2015-12-24,68.52
2015-12-25,68.25
2015-12-26,68.38499999999999
2015-12-27,68.25
2015-12-28,68.31
2015-12-29,69.01
2015-12-30,69.15
2015-12-31,69.08000000000001
2016-01-01,69.15
2016-01-02,69.15
2016-01-03,69.15
2016-01-04,68.75
2016-01-05,69.59
2016-01-06,69.58
2016-01-07,69.58500000000001
2016-01-08,69.58
2016-01-09,69.58
2016-01-10,69.58
2016-01-11,67.78
2016-01-12,67.74
2016-01-13,67.8
2016-01-14,67.78
2016-01-15,66.79
2016-01-16,67.28500000000001
2016-01-17,66.79
2016-01-18,66.96
2016-01-19,67.29
2016-01-20,67.12
2016-01-21,67.76
2016-01-22,68.39
2016-01-23,68.075
2016-01-24,68.39
2016-01-25,68.39
2016-01-26,68.33
2016-01-27,68.97
2016-01-28,69.13
2016-01-29,69.17
2016-01-30,69.14999999999999
2016-01-31,69.17
2016-02-01,69.06
2016-02-02,69.01
2016-02-03,69.04
2016-02-04,69.62
2016-02-05,69.41
2016-02-06,69.515
2016-02-07,69.41
2016-02-08,68.99
2016-02-09,68.75
2016-02-10,68.8
2016-02-11,68.72
2016-02-12,68.75
2016-02-13,68.735
2016-02-14,68.75
2016-02-15,68.69
2016-02-16,68.98
2016-02-17,69.07
2016-02-18,69.8
2016-02-19,69.48
2016-02-20,69.49
2016-02-21,69.485
2016-02-22,69.97
2016-02-23,69.97
2016-02-24,69.46
2016-02-25,69.54
2016-02-26,69.83
2016-02-27,69.685
2016-02-28,69.83
2016-02-29,70.31
2016-03-01,70.28
2016-03-02,70.18
2016-03-03,70.4
2016-03-04,70.81
2016-03-05,70.605
2016-03-06,70.81
2016-03-07,71.48
2016-03-08,71.48
2016-03-09,70.78
2016-03-10,70.73
2016-03-11,70.51
2016-03-12,70.62
2016-03-13,70.51
2016-03-14,70.48
2016-03-15,70.24
2016-03-16,70.53
2016-03-17,70.97
2016-03-18,71.45
2016-03-19,71.21
2016-03-20,71.45
2016-03-21,71.38
2016-03-22,71.53
2016-03-23,70.85
2016-03-24,70.67
2016-03-25,70.77
2016-03-26,70.72
2016-03-27,70.77
2016-03-28,70.37
2016-03-29,69.9
2016-03-30,70.66
2016-03-31,70.42
2016-04-01,70.18
2016-04-02,70.3
2016-04-03,70.18
2016-04-04,70.4
2016-04-05,70.26
2016-04-06,70.19
2016-04-07,70.18
2016-04-08,70.44
2016-04-09,70.31
2016-04-10,70.44
2016-04-11,71.74
2016-04-12,71.54
2016-04-13,72.69
2016-04-14,72.24
2016-04-15,71.91
2016-04-16,72.07499999999999
2016-04-17,71.91
2016-04-18,71.62
2016-04-19,72.52
2016-04-20,72.93
2016-04-21,72.83
2016-04-22,73.39
2016-04-23,73.10999999999999
2016-04-24,73.39
2016-04-25,73.07
2016-04-26,72.78
2016-04-27,72.39
2016-04-28,73.12
2016-04-29,72.71
2016-04-30,72.91499999999999
2016-05-01,72.71
2016-05-02,72.71
2016-05-03,72.71
2016-05-04,72.17
2016-05-05,71.87
2016-05-06,71.76
2016-05-07,71.815
2016-05-08,71.76
2016-05-09,71.76
2016-05-10,71.11
2016-05-11,71.4
2016-05-12,71.52
2016-05-13,71.61
2016-05-14,71.565
2016-05-15,71.61
2016-05-16,72.05
2016-05-17,72.06
2016-05-18,72.47
2016-05-19,72.17
2016-05-20,72.45
2016-05-21,72.31
2016-05-22,72.45
2016-05-23,71.92
2016-05-24,72.28
2016-05-25,72.65
2016-05-26,72.86
2016-05-27,73.15
2016-05-28,73.005
2016-05-29,73.15
2016-05-30,73.26
2016-05-31,72.54
2016-06-01,72.43
2016-06-02,72.71
2016-06-03,72.84
2016-06-04,72.775
2016-06-05,72.84
2016-06-06,74.08
2016-06-07,74.85
2016-06-08,74.84
2016-06-09,74.33
2016-06-10,73.69
2016-06-11,74.00999999999999
2016-06-12,73.69
2016-06-13,73.69
2016-06-14,73.04
2016-06-15,73.33
2016-06-16,72.56
2016-06-17,73.05
2016-06-18,72.805
2016-06-19,73.05
2016-06-20,73.89
2016-06-21,73.6
2016-06-22,73.67
2016-06-23,74.25
2016-06-24,73.12
2016-06-25,73.685
2016-06-26,73.12
2016-06-27,71.93
2016-06-28,72.22
2016-06-29,73.01
2016-06-30,73.3
2016-07-01,73.39
2016-07-02,73.345
2016-07-03,73.39
2016-07-04,73.7
2016-07-05,73.6
2016-07-06,73.44
2016-07-07,73.31
2016-07-08,73.49
2016-07-09,73.4
2016-07-10,73.49
2016-07-11,73.96
2016-07-12,74.53
2016-07-13,74.58
2016-07-14,74.69
2016-07-15,74.68
2016-07-16,74.685
2016-07-17,74.68
2016-07-18,74.47
2016-07-19,74.36
2016-07-20,74.42
2016-07-21,74.75
2016-07-22,74.73
2016-07-23,74.74000000000001
2016-07-24,74.73
2016-07-25,74.91
2016-07-26,75.27
2016-07-27,75.21
2016-07-28,76.29
2016-07-29,75.93
2016-07-30,76.11
2016-07-31,75.93
2016-08-01,76.11
2016-08-02,75.06
2016-08-03,75.48
2016-08-04,75.93
2016-08-05,75.94
2016-08-06,75.935
2016-08-07,75.94
2016-08-08,76.14
2016-08-09,76.51
2016-08-10,75.98
2016-08-11,76.25
2016-08-12,76.68
2016-08-13,76.465
2016-08-14,76.68
2016-08-15,76.98
2016-08-16,77.03
2016-08-17,76.39
2016-08-18,76.04
2016-08-19,75.43
2016-08-20,75.73500000000001
2016-08-21,75.43
2016-08-22,75.9
2016-08-23,76.12
2016-08-24,75.87
2016-08-25,75.96
2016-08-26,76.06
2016-08-27,76.00999999999999
2016-08-28,76.06
2016-08-29,75.49
2016-08-30,75.59
2016-08-31,74.76
2016-09-01,75.1
2016-09-02,76.11
2016-09-03,75.605
2016-09-04,76.11
2016-09-05,76.5
2016-09-06,77.02
2016-09-07,77.45
2016-09-08,77.39
2016-09-09,76.5
2016-09-10,76.94500000000001
2016-09-11,76.5
2016-09-12,76.22
2016-09-13,75.56
2016-09-14,75.46
2016-09-15,75.1
2016-09-16,74.84
2016-09-17,74.97
2016-09-18,74.84
2016-09-19,74.87
2016-09-20,74.95
2016-09-21,75.39
2016-09-22,76.58
2016-09-23,75.77
2016-09-24,76.175
2016-09-25,75.77
2016-09-26,75.22
2016-09-27,74.71
2016-09-28,74.99
2016-09-29,75.25
2016-09-30,74.69
2016-10-01,74.97
2016-10-02,74.69
2016-10-03,74.91
2016-10-04,74.62
2016-10-05,74.22
2016-10-06,74.25
2016-10-07,73.96
2016-10-08,74.105
2016-10-09,73.96
2016-10-10,74.47
2016-10-11,74.52
2016-10-12,74.03
2016-10-13,73.6
2016-10-14,73.3
2016-10-15,73.44999999999999
2016-10-16,73.3
2016-10-17,72.86
2016-10-18,73.64
2016-10-19,73.61
2016-10-20,73.37
2016-10-21,73.16
2016-10-22,73.26499999999999
2016-10-23,73.16
2016-10-24,73.24
2016-10-25,73.41
2016-10-26,73.26
2016-10-27,73.74
2016-10-28,73.96
2016-10-29,73.85
2016-10-30,73.96
2016-10-31,74.37
2016-11-01,74.77
2016-11-02,73.67
2016-11-03,73.17
2016-11-04,73.42000000000002
2016-11-05,73.17
2016-11-06,73.17
2016-11-07,72.88
2016-11-08,73.24
2016-11-09,74.68
2016-11-10,76.16
2016-11-11,75.57
2016-11-12,75.86499999999998
2016-11-13,75.57
2016-11-14,75.21
2016-11-15,75.11
2016-11-16,75.49
2016-11-17,75.69
2016-11-18,75.68
2016-11-19,75.685
2016-11-20,75.68
2016-11-21,76.18
2016-11-22,76.32
2016-11-23,76.77
2016-11-24,77.07
2016-11-25,76.93
2016-11-26,77.0
2016-11-27,76.93
2016-11-28,76.96
2016-11-29,76.61
2016-11-30,76.65
2016-12-01,77.04
2016-12-02,77.13
2016-12-03,77.085
2016-12-04,77.13
2016-12-05,77.59
2016-12-06,78.11
2016-12-07,78.42
2016-12-08,79.66
2016-12-09,79.31
2016-12-10,79.485
2016-12-11,79.31
2016-12-12,79.25
2016-12-13,79.84
2016-12-14,79.83
2016-12-15,79.64
2016-12-16,79.43
2016-12-17,79.535
2016-12-18,79.43
2016-12-19,78.59
2016-12-20,78.84
2016-12-21,78.46
2016-12-22,77.69
2016-12-23,77.57
2016-12-24,77.63
2016-12-25,77.57
2016-12-26,77.58
2016-12-27,78.04
2016-12-28,77.83
2016-12-29,78.66
2016-12-30,79.61
2016-12-31,79.13499999999999
2017-01-01,79.61
2017-01-02,79.61
2017-01-03,80.56
2017-01-04,80.49
2017-01-05,79.61
2017-01-06,79.65
2017-01-07,79.63
2017-01-08,79.65
2017-01-09,79.77
2017-01-10,80.09
2017-01-11,79.5
2017-01-12,78.94
2017-01-13,78.34
2017-01-14,78.63999999999999
2017-01-15,78.34
2017-01-16,78.33
2017-01-17,78.25
2017-01-18,77.95
2017-01-19,77.46
2017-01-20,77.49
2017-01-21,77.475
2017-01-22,77.49
2017-01-23,77.28
2017-01-24,78.18
2017-01-25,78.31
2017-01-26,79.54
2017-01-27,80.19
2017-01-28,79.86500000000001
2017-01-29,80.19
2017-01-30,79.58
2017-01-31,79.39
2017-02-01,79.77
2017-02-02,79.27
2017-02-03,79.36
2017-02-04,79.315
2017-02-05,79.36
2017-02-06,78.97
2017-02-07,79.13
2017-02-08,78.62
2017-02-09,78.26
2017-02-10,78.25
2017-02-11,78.255
2017-02-12,78.25
2017-02-13,78.22
2017-02-14,77.37
2017-02-15,77.22
2017-02-16,77.68
2017-02-17,77.32
2017-02-18,77.5
2017-02-19,77.32
2017-02-20,77.14
2017-02-21,77.4
2017-02-22,77.51
2017-02-23,77.45500000000001
2017-02-24,77.27
2017-02-25,77.27
2017-02-26,77.27
2017-02-27,76.44
2017-02-28,76.21
2017-03-01,76.26
2017-03-02,75.69
2017-03-03,75.82
2017-03-04,75.755
2017-03-05,75.82
2017-03-06,75.65
2017-03-07,74.73
2017-03-08,75.19
2017-03-09,73.1
2017-03-10,73.29
2017-03-11,73.195
2017-03-12,73.29
2017-03-13,74.21
2017-03-14,74.48
2017-03-15,74.39
2017-03-16,75.36
2017-03-17,75.56
2017-03-18,75.46000000000001
2017-03-19,75.56
2017-03-20,75.43
2017-03-21,75.57
2017-03-22,75.81
2017-03-23,75.65
2017-03-24,75.43
2017-03-25,75.54
2017-03-26,75.43
2017-03-27,74.81
2017-03-28,75.4
2017-03-29,74.98
2017-03-30,74.88
2017-03-31,74.15
2017-04-01,74.51499999999999
2017-04-02,74.15
2017-04-03,74.76
2017-04-04,75.12
2017-04-05,76.04
2017-04-06,75.99
2017-04-07,75.6
2017-04-08,75.79499999999999
2017-04-09,75.6
2017-04-10,74.47
2017-04-11,74.7
2017-04-12,74.31
2017-04-13,74.23
2017-04-14,73.71
2017-04-15,73.97
2017-04-16,73.71
2017-04-17,74.39
2017-04-18,73.87
2017-04-19,73.53
2017-04-20,73.7
2017-04-21,73.73
2017-04-22,73.715
2017-04-23,73.73
2017-04-24,74.14
2017-04-25,74.48
2017-04-26,75.1
2017-04-27,74.9
2017-04-28,75.24
2017-04-29,75.07000000000001
2017-04-30,75.24
2017-05-01,75.24
2017-05-02,75.46
2017-05-03,74.63
2017-05-04,74.94
2017-05-05,75.1
2017-05-06,75.02000000000001
2017-05-07,75.1
2017-05-08,75.1
2017-05-09,75.1
2017-05-10,75.57
2017-05-11,74.94
2017-05-12,74.75
2017-05-13,74.845
2017-05-14,74.75
2017-05-15,74.87
2017-05-16,74.64
2017-05-17,74.73
2017-05-18,74.15
2017-05-19,74.32
2017-05-20,74.235
2017-05-21,74.32
2017-05-22,74.08
2017-05-23,74.25
2017-05-24,74.25
2017-05-25,73.98
2017-05-26,73.67
2017-05-27,73.82500000000002
2017-05-28,73.67
2017-05-29,73.64
2017-05-30,73.36
2017-05-31,72.38
2017-06-01,71.79
2017-06-02,71.83
2017-06-03,71.81
2017-06-04,71.83
2017-06-05,71.87
2017-06-06,71.97
2017-06-07,72.1
2017-06-08,72.36
2017-06-09,72.79
2017-06-10,72.575
2017-06-11,72.79
2017-06-12,72.79
2017-06-13,72.13
2017-06-14,70.8
2017-06-15,70.13
2017-06-16,70.18
2017-06-17,70.155
2017-06-18,70.18
2017-06-19,71.07
2017-06-20,71.77
2017-06-21,71.72
2017-06-22,72.18
2017-06-23,72.61
2017-06-24,72.39500000000001
2017-06-25,72.61
2017-06-26,72.34
2017-06-27,72.71
2017-06-28,73.26
2017-06-29,72.89
2017-06-30,72.71
2017-07-01,72.8
2017-07-02,72.71
2017-07-03,73.23
2017-07-04,73.53
2017-07-05,73.6
2017-07-06,73.53
2017-07-07,73.44
2017-07-08,73.48499999999999
2017-07-09,73.44
2017-07-10,73.81
2017-07-11,74.1
2017-07-12,74.71
2017-07-13,75.47
2017-07-14,75.72
2017-07-15,75.595
2017-07-16,75.72
2017-07-17,75.73
2017-07-18,75.51
2017-07-19,75.96
2017-07-20,75.51
2017-07-21,74.74
2017-07-22,75.125
2017-07-23,74.74
2017-07-24,75.3
2017-07-25,75.3
2017-07-26,75.71
2017-07-27,76.16
2017-07-28,74.6
2017-07-29,75.38
2017-07-30,74.6
2017-07-31,74.82
2017-08-01,75.1
2017-08-02,75.71
2017-08-03,75.73
2017-08-04,75.46
2017-08-05,75.595
2017-08-06,75.46
2017-08-07,75.93
2017-08-08,76.14
2017-08-09,76.03
2017-08-10,75.7
2017-08-11,75.23
2017-08-12,75.465
2017-08-13,75.23
2017-08-14,75.44
2017-08-15,75.27
2017-08-16,75.24
2017-08-17,75.28
2017-08-18,75.01
2017-08-19,75.145
2017-08-20,75.01
2017-08-21,75.23
2017-08-22,75.35
2017-08-23,75.68
2017-08-24,76.15
2017-08-25,76.33
2017-08-26,76.24000000000001
2017-08-27,76.33
2017-08-28,76.44
2017-08-29,76.71
2017-08-30,77.23
2017-08-31,77.7
2017-09-01,77.28
2017-09-02,77.49000000000001
2017-09-03,77.28
2017-09-04,77.25
2017-09-05,77.32
2017-09-06,77.6
2017-09-07,77.51
2017-09-08,78.28
2017-09-09,77.895
2017-09-10,78.28
2017-09-11,78.46
2017-09-12,79.22
2017-09-13,78.93
2017-09-14,78.86
2017-09-15,79.32
2017-09-16,79.09
2017-09-17,79.32
2017-09-18,79.09
2017-09-19,78.74
2017-09-20,79.07
2017-09-21,78.85
2017-09-22,78.78
2017-09-23,78.815
2017-09-24,78.78
2017-09-25,79.07
2017-09-26,79.19
2017-09-27,79.45
2017-09-28,79.01
2017-09-29,79.24
2017-09-30,79.125
2017-10-01,79.24
2017-10-02,79.2
2017-10-03,79.58
2017-10-04,79.42
2017-10-05,79.56
2017-10-06,79.42
2017-10-07,79.49000000000001
2017-10-08,79.42
2017-10-09,79.63
2017-10-10,79.19
2017-10-11,79.85
2017-10-12,79.59
2017-10-13,79.87
2017-10-14,79.73
2017-10-15,79.87
2017-10-16,80.05
2017-10-17,79.35
2017-10-18,79.7
2017-10-19,78.92
2017-10-20,78.42
2017-10-21,78.67
2017-10-22,78.42
2017-10-23,78.19
2017-10-24,78.29
2017-10-25,78.06
2017-10-26,78.12
2017-10-27,79.0
2017-10-28,78.56
2017-10-29,79.0
2017-10-30,78.77
2017-10-31,78.42
2017-11-01,79.31
2017-11-02,78.4
2017-11-03,78.65
2017-11-04,78.525
2017-11-05,78.65
2017-11-06,78.65
2017-11-07,80.53
2017-11-08,80.67
2017-11-09,80.78
2017-11-10,80.4
2017-11-11,80.59
2017-11-12,80.4
2017-11-13,80.31
2017-11-14,79.96
2017-11-15,78.7
2017-11-16,79.13
2017-11-17,79.18
2017-11-18,79.155
2017-11-19,79.18
2017-11-20,79.25
2017-11-21,79.53
2017-11-22,79.95
2017-11-23,79.79
2017-11-24,79.94
2017-11-25,79.86500000000001
2017-11-26,79.94
2017-11-27,79.57
2017-11-28,79.44
2017-11-29,78.77
2017-11-30,78.44
2017-12-01,78.42
2017-12-02,78.43
2017-12-03,78.42
2017-12-04,78.19
2017-12-05,77.94
2017-12-06,78.11
2017-12-07,77.68
2017-12-08,77.71
2017-12-09,77.695
2017-12-10,77.71
2017-12-11,78.84
2017-12-12,78.98
2017-12-13,78.45
2017-12-14,78.91
2017-12-15,78.79
2017-12-16,78.85000000000001
2017-12-17,78.79
2017-12-18,78.39
2017-12-19,77.99
2017-12-20,77.44
2017-12-21,77.61
2017-12-22,77.65
2017-12-23,77.63
2017-12-24,77.65
2017-12-25,77.92
2017-12-26,77.46
2017-12-27,78.03
2017-12-28,77.82
2017-12-29,78.14
2017-12-30,77.98
2017-12-31,78.14
2018-01-01,78.14
2018-01-02,78.14
2018-01-03,79.76
2018-01-04,81.67
2018-01-05,82.04
2018-01-06,81.85500000000002
2018-01-07,82.04
2018-01-08,82.04
2018-01-09,82.12
2018-01-10,82.36
2018-01-11,82.69
2018-01-12,82.88
2018-01-13,82.785
2018-01-14,82.88
2018-01-15,82.78
2018-01-16,82.26
2018-01-17,82.42
2018-01-18,82.74
2018-01-19,82.86
2018-01-20,82.8
2018-01-21,82.86
2018-01-22,83.51
2018-01-23,83.3
2018-01-24,83.59
2018-01-25,84.03
2018-01-26,83.29
2018-01-27,83.66000000000001
2018-01-28,83.29
2018-01-29,82.6
2018-01-30,82.65
2018-01-31,83.05
2018-02-01,83.19
2018-02-02,82.3
2018-02-03,82.745
2018-02-04,82.3
2018-02-05,81.98
2018-02-06,80.49
2018-02-07,81.27
2018-02-08,80.54
2018-02-09,79.74
2018-02-10,80.14000000000001
2018-02-11,79.74
2018-02-12,80.47
2018-02-13,81.06
2018-02-14,81.48
2018-02-15,82.14
2018-02-16,81.77
2018-02-17,81.95499999999998
2018-02-18,81.77
2018-02-19,81.51
2018-02-20,81.76
2018-02-21,82.89
2018-02-22,83.18
2018-02-23,83.03500000000001
2018-02-24,83.18
2018-02-25,83.18
2018-02-26,83.29
2018-02-27,83.11
2018-02-28,81.94
2018-03-01,82.09
2018-03-02,81.77
2018-03-03,81.93
2018-03-04,81.77
2018-03-05,82.31
2018-03-06,82.25
2018-03-07,82.07
2018-03-08,82.16
2018-03-09,82.52
2018-03-10,82.52
2018-03-11,82.52
2018-03-12,82.49
2018-03-13,82.44
2018-03-14,81.79
2018-03-15,81.84
2018-03-16,82.14
2018-03-17,81.99
2018-03-18,82.14
2018-03-19,81.79
2018-03-20,81.92
2018-03-21,82.19
2018-03-22,81.45
2018-03-23,81.35
2018-03-24,81.4
2018-03-25,81.35
2018-03-26,80.62
2018-03-27,80.97
2018-03-28,80.43
2018-03-29,81.07
2018-03-30,80.97
2018-03-31,81.02
2018-04-01,80.97
2018-04-02,80.78
2018-04-03,81.08
2018-04-04,81.13
2018-04-05,82.05
2018-04-06,81.72
2018-04-07,81.88499999999999
2018-04-08,81.72
2018-04-09,76.25
2018-04-10,78.45
2018-04-11,78.81
