open,news_size,year,month,day,news0,news1,news2,news3,news4,news5,news6,news7,news8,news9,news10,news11,news12,news13,news14,news15,news16,news17,news18,news19,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15,shift16,shift17,shift18,shift19,shift20,shift21,shift22,shift23,shift24,shift25,shift26,shift27,shift28,shift29,shift30,shift31,shift32,shift33,shift34,shift35,shift36,shift37,shift38,shift39,shift40,shift41,shift42,shift43,shift44,shift45,shift46,shift47,shift48,shift49,shift50,shift51,shift52,shift53,shift54,shift55,shift56,shift57,shift58,shift59,shift60,shift61,shift62,shift63,shift64,shift65
2007.9,40,2017,4,4,0.0651596055338834,-0.0156417927710389,-0.3410328580716808,0.210169709730229,0.0209847562454425,-0.130071914081336,0.0209847562454425,-0.1356046703270496,0.1986751883125281,0.0230045774655694,0.3960388373587374,-0.0581318895936614,-0.3857889776659681,0.0209847562454425,0.052247428637798,0.2118590820571134,0.0209847562454425,0.0209847562454425,0.0269160497302285,0.3273343869322873,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49,2231.66,2219.19,2233.66,2263.63,2226.87
2028.71,20,2017,4,5,-0.0360920785746679,-0.3365586064106759,-0.0772517690150742,-0.0557228492263618,0.0607556397546177,-0.1005238489765079,-0.1146144737192448,-0.1431798289175514,0.0092926413810684,0.1582395720706556,0.1819200844409343,0.1126420221850313,-0.212660436149201,0.018882475383382,0.0209847562454425,0.0209847562454425,0.1845341228243508,0.1959349985736773,-0.0616315996149554,0.2394696379093131,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49,2231.66,2219.19,2233.66,2263.63
2052.05,38,2017,4,6,0.0977062590456778,-0.0813704239086816,0.0383740456756764,-0.0309453814141309,0.0502132358760837,0.2466297643035993,-0.2277314544919031,0.2834537997158336,0.2180562495347924,0.2858097066604464,-0.0911649089164375,-0.1153230690286289,-0.1778853297666139,-0.0383980925835098,0.0977733747235825,-0.0150005086669387,0.1101088597821575,-0.1563684148541782,0.0209847562454425,0.0209847562454425,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49,2231.66,2219.19,2233.66
2046.78,20,2017,4,7,0.1041775662973715,0.0655012213489332,0.0209847562454425,0.0269160497302285,0.0519093722302757,-0.1587281373889043,0.1153296673948379,-0.1737812647768354,0.120413102484609,-0.0772517690150742,-0.0655286194521335,0.0209847562454425,-0.0616315996149554,0.083424732555059,0.0811941063245324,-0.0243486372547092,0.0209847562454425,0.27274808472584,0.1811751793172994,0.0209847562454425,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49,2231.66,2219.19
2049.4149999999995,4,2017,4,8,-0.2187494328174322,-0.0254039939380698,0.1285567901528483,-0.0324035309978346,0.2813484306801008,0.3003848423892743,-0.0202695625698494,0.0209847562454425,0.271680111711378,0.1521710152289295,-0.2224970249785798,0.0668318986649053,0.0123369336379737,0.1165028178767064,0.0209847562454425,0.0269160497302285,0.1542598658474284,0.0209847562454425,0.210169709730229,0.0525157931826728,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49,2231.66
2046.78,3,2017,4,9,0.0209847562454425,0.0235873524494417,0.0209847562454425,0.0209847562454425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.4149999999995,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575,2219.49
2017.75,20,2017,4,10,0.0209847562454425,0.1709903490312823,0.0104791378780088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.78,2049.4149999999995,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49,2225.575
1969.12,20,2017,4,11,0.0269160497302285,0.2334122796686537,-0.2224970249785798,0.0209847562454425,0.0209847562454425,0.1984619428016921,-0.0772517690150742,0.0012590670342219,0.0668318986649053,0.0598384326770069,0.0363246711586283,0.0269160497302285,0.0209847562454425,0.3810670073588316,0.0004710964229023,-0.7557925183974621,0.1727608002783265,0.1885151549660604,6.250493858302175e-05,0.0209847562454425,2017.75,2046.78,2049.4149999999995,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85,2219.49
1985.69,20,2017,4,12,-0.0340628272557667,0.1451138754162058,-0.2123305743631997,-0.0179049607123497,0.376943885482447,-0.0727786793193786,0.0209847562454425,0.086830268167904,0.0471818524602472,0.0852774548096103,0.0768072982110498,0.0209847562454425,0.018882475383382,0.0209847562454425,-0.003373551564613,0.0269160497302285,-0.7461313680243807,0.246260517120312,-0.0297365589676208,0.0209847562454425,1969.12,2017.75,2046.78,2049.4149999999995,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87,2228.85
1954.39,20,2017,4,13,-0.009269107203962,0.1119082144583843,0.0668318986649053,0.2481254098774319,0.18516917562298,-0.1213565382118612,-0.0572146825160506,-0.396102603917053,0.0209847562454425,-0.3232651343048611,0.0223742094354419,0.1619785553772323,0.2084735733760371,0.0754013510556144,-0.0381112302346175,0.0209847562454425,-0.0841132289020357,0.0209847562454425,0.0663805633142363,0.1458673116361716,1985.69,1969.12,2017.75,2046.78,2049.4149999999995,2046.78,2052.05,2028.71,2007.9,1998.55,2021.16,2023.08,2021.16,2025.0,2032.49,2016.95,2034.1,2047.78,2056.575,2047.78,2065.37,2042.65,2045.19,2038.99,2015.59,2008.7049999999992,2015.59,2001.82,2003.09,2001.4,1972.66,1977.75,1994.2999999999995,1977.75,2010.85,2052.11,2047.59,2056.63,2046.61,2054.61,2046.61,2062.61,2034.28,2057.74,2095.51,2106.96,2106.96,2106.96,2123.915,2128.98,2118.85,2132.47,2148.58,2143.64,2148.58,2138.7,2140.2,2162.13,2165.12,2176.79,2184.5149999999994,2176.79,2192.24,2215.34,2210.87
