open,news_size,year,month,day,news0,news1,news2,news3,news4,news5,news6,news7,news8,news9,news10,news11,news12,news13,news14,news15,news16,news17,news18,news19,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15,shift16,shift17,shift18,shift19,shift20,shift21,shift22,shift23,shift24,shift25,shift26,shift27,shift28,shift29,shift30,shift31,shift32,shift33,shift34,shift35,shift36,shift37,shift38,shift39,shift40,shift41,shift42,shift43,shift44,shift45,shift46,shift47,shift48,shift49,shift50,shift51,shift52,shift53,shift54,shift55,shift56,shift57,shift58,shift59,shift60,shift61,shift62,shift63,shift64,shift65
69.17,20,2016,1,29,-0.1319196594867698,0.4820943585874929,-0.0634714868570847,-0.0208412630157803,0.4756072922360775,-0.0866091117059871,0.0162468256707795,-0.0424061111011195,-0.2968953189172694,-0.0468626234874434,0.2862234234191889,-0.3575493835893533,0.5401034319103241,-0.5145385894817213,0.3100876363737707,-0.1287225821366534,-0.2050709674532323,0.0219019633230533,0.0461087081523761,-0.1631078053902135,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8,69.99,70.27,69.99,70.55,70.62
69.14999999999999,2,2016,1,30,-0.5783489470109643,-0.0558788490972674,-0.1626127313568315,-0.0321799367498315,-0.0772517690150742,0.0209847562454425,-0.2833991838708811,-0.4049189652891842,0.0219019633230533,-0.02443993578107,-0.1059305765882218,0.051721216748053,0.0727631921496913,0.0653167248488206,0.2954957750761076,-0.3207335502390966,-0.2463040236287239,-0.0934732396776237,0.2366893337615706,-0.0304338668563446,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8,69.99,70.27,69.99,70.55
69.17,3,2016,1,31,0.0209847562454425,0.0461159259095589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8,69.99,70.27,69.99
69.06,40,2016,2,1,-0.0958715883008513,-0.3000216959726328,-0.1212233387450802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8,69.99,70.27
69.01,20,2016,2,2,0.0269160497302285,0.1328523941331142,-0.2762432210807213,-0.0529259727238005,0.0494428541739558,-0.0772517690150742,0.3890192066644801,0.67877194702118,0.1974427734633551,-0.1509240479698617,-0.2038299636627809,0.3428034304427945,-0.2558620322335055,0.1761199194866085,0.2245738596803313,-0.1933232232086023,0.0219019633230533,0.1627048188500453,0.1145118789805513,0.0427683536170533,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8,69.99
69.04,40,2016,2,3,-0.158923590524938,0.0924854514329974,0.2505082071556221,0.2507051030180043,0.0367105347379843,0.0219019633230533,0.0671969692484581,0.0063669927782891,0.1682379852121477,0.3434569171186254,0.0219199145667229,0.124538837378232,0.3163957330080472,0.0209847562454425,-0.1062398605451506,0.1099714753457661,-0.1052036532538024,-0.0902311415892243,0.0131558329040382,0.164106611034772,69.01,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54,69.8
69.62,40,2016,2,4,-0.2587013841456115,0.0334589507280238,-0.027948324274629,0.0978477634550082,0.1145956778033837,-0.2424642203527326,0.140847548898881,-0.0336758810068402,-0.1072061424783694,-0.1679879896288417,-0.6128435736571783,0.1140140426058938,0.1922324301327176,0.0209847562454425,0.0291861838965898,-0.0053839518176914,0.0479225805437563,0.0110827123437297,-0.0581318895936614,-0.0864414751315238,69.04,69.01,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51,69.54
69.41,40,2016,2,5,0.0609964080618402,-0.2710726636619984,-0.1320037631494788,0.2356789513613135,0.2357944447632969,0.0677491057425161,0.0780973302037691,-0.223252273322296,-0.1520474872167327,0.0534330002602836,0.0706609112876308,0.0726499521987338,-0.0079844399184311,0.0144397240216858,-0.1586774219774957,-0.3674397512711947,-0.154189326245926,0.0668318986649053,-0.395654592890736,0.0344818886713521,69.62,69.04,69.01,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76,69.51
69.515,2,2016,2,6,-0.3988702274783335,0.0585117530633588,0.1519156059709165,0.1456509966142825,0.016628405747183,-0.0168378213873397,0.2255467821679801,-0.1232506131898617,0.0616218778651943,0.0607499938468279,0.0080722433098663,0.0197996824609928,0.0190808259132101,-0.1219718103589919,0.0607556397546177,0.0764763371758746,-0.2051315218058572,-0.0137931005668916,0.0228768985953524,0.0105399833276489,69.41,69.62,69.04,69.01,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05,69.76
69.41,2,2016,2,7,-0.261262323249943,-0.2983418354297191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.515,69.41,69.62,69.04,69.01,69.06,69.17,69.14999999999999,69.17,69.13,68.97,68.33,68.39,68.39,68.075,68.39,67.76,67.12,67.29,66.96,66.79,67.28500000000001,66.79,67.78,67.8,67.74,67.78,69.58,69.58,69.58,69.58500000000001,69.58,69.59,68.75,69.15,69.15,69.15,69.08000000000001,69.15,69.01,68.31,68.25,68.38499999999999,68.25,68.52,68.67,68.08,68.03,68.15,68.67500000000001,68.15,69.2,68.8,68.67,68.08,68.34,68.44,68.34,68.54,68.51,68.21,68.58,69.05,69.405,69.05
