DATE,OPEN
2020-01-03,3059.2
2020-01-06,3075.55
2020-01-08,3076.63
2020-01-09,3105.21
2020-01-10,3117.24
2020-01-13,3124.96
2020-01-14,3155.63
2020-01-15,3128.38
2020-01-16,3137.52
2020-01-17,3161.25
2020-01-20,3205.64
2020-01-21,3212.72
2020-01-22,3212.91
2020-01-23,3162.68
2020-01-24,3147.28
2020-01-27,3123.71
2020-01-28,3097.71
2020-01-29,3125.91
2020-01-30,3108.38
2020-01-31,3133.4
2020-02-03,3062.27
2020-02-04,3082.2
2020-02-05,3105.52
2020-02-06,3132.84
2020-02-07,3101.08
2020-02-10,3088.63
2020-02-11,3072.39
2020-02-12,3103.81
2020-02-13,3116.99
2020-02-14,3113.72
2020-02-17,3097.18
2020-02-18,3103.71
2020-02-19,3089.09
2020-02-20,3120.51
2020-02-21,3109.86
2020-02-25,3058.33
2020-02-26,2994.22
2020-02-27,2989.18
2020-02-28,2850.11
2020-03-02,2829.47
2020-03-03,2817.58
2020-03-04,2799.18
2020-03-05,2852.42
2020-03-06,2773.53
2020-03-10,2502.7
2020-03-11,2532.72
2020-03-12,2413.02
2020-03-13,2277.66
2020-03-16,2297.04
2020-03-17,2263.62
2020-03-18,2192.79
2020-03-19,2134.43
2020-03-20,2327.27
2020-03-23,2257.88
2020-03-24,2349.47
2020-03-25,2459.3
2020-03-26,2448.76
2020-03-27,2491.7
2020-03-30,2377.21
2020-03-31,2466.28
2020-04-01,2465.56
2020-04-02,2528.72
2020-04-03,2547.15
2020-04-06,2597.28
2020-04-07,2648.74
2020-04-08,2617.66
2020-04-09,2693.58
2020-04-10,2678.3
2020-04-13,2675.73
2020-04-14,2649.34
2020-04-15,2617.19
2020-04-16,2511.55
2020-04-17,2550.95
2020-04-20,2524.31
2020-04-21,2487.63
2020-04-22,2474.32
2020-04-23,2600.28
2020-04-24,2588.29
2020-04-27,2570.69
2020-04-28,2567.74
2020-04-29,2629.24
2020-04-30,2683.86
2020-05-04,2623.89
2020-05-05,2652.92
2020-05-06,2659.08
2020-05-07,2632.87
2020-05-08,2647.8
2020-05-12,2635.51
2020-05-13,2630.79
2020-05-14,2596.13
2020-05-15,2616.14
2020-05-18,2623.61
2020-05-19,2702.34
2020-05-20,2706.07
2020-05-21,2767.97
2020-05-22,2691.58
2020-05-25,2718.72
2020-05-26,2777.72
2020-05-27,2748.25
2020-05-28,2748.03
2020-05-29,2766.62
2020-06-01,2761.23
2020-06-02,2760.63
2020-06-03,2812.82
2020-06-04,2822.59
2020-06-05,2780.32
2020-06-08,2806.81
2020-06-09,2804.36
2020-06-10,2795.1
2020-06-11,2756.98
2020-06-15,2705.64
2020-06-16,2745.49
2020-06-17,2758.97
2020-06-18,2734.84
2020-06-19,2739.04
2020-06-22,2754.42
2020-06-23,2773.33
2020-06-25,2750.08
2020-06-26,2780.02
2020-06-29,2749.54
2020-06-30,2770.69
2020-07-02,2762.56
2020-07-03,2789.27
2020-07-06,2825.88
2020-07-07,2829.33
2020-07-08,2815.52
2020-07-09,2805.85
2020-07-10,2768.67
2020-07-13,2805.52
2020-07-14,2751.98
2020-07-15,2728.59
2020-07-16,2741.68
2020-07-17,2757.04
2020-07-20,2771.85
2020-07-21,2814.99
2020-07-22,2824.5
2020-07-23,2848.41
2020-07-24,2835.15
2020-07-27,2869.69
2020-07-28,2891.34
2020-07-29,2893.54
2020-07-30,2915.94
2020-07-31,2902.81
2020-08-03,2917.68
2020-08-04,2934.91
2020-08-05,2954.41
2020-08-06,2998.53
2020-08-07,2992.26
2020-08-10,2976.49
2020-08-11,2959.29
2020-08-12,2990.9
2020-08-13,3057.63
2020-08-14,3075.96
2020-08-17,3070.81
2020-08-18,3056.72
2020-08-19,3048.22
2020-08-20,3044.92
2020-08-21,3013.4
2020-08-24,3005.86
2020-08-25,3042.58
2020-08-26,3041.19
2020-08-27,3051.2
2020-08-28,3015.7
2020-08-31,2993.02
2020-09-01,2976.07
2020-09-02,2989.76
2020-09-03,2954.62
2020-09-04,2920.22
2020-09-07,2929.38
2020-09-08,2937.18
2020-09-09,2880.83
2020-09-10,2888.09
2020-09-11,2888.92
2020-09-14,2918.29
2020-09-15,2936.42
2020-09-16,2982.49
2020-09-17,2947.54
2020-09-18,2976.1
2020-09-21,2946.18
2020-09-22,2874.0
2020-09-23,2933.33
2020-09-24,2905.55
2020-09-25,2912.83
2020-09-28,2909.62
2020-09-29,2935.77
2020-09-30,2908.55
2020-10-01,2911.08
2020-10-02,2840.72
2020-10-05,2860.53
2020-10-06,2885.38
