,Date,Value
484,2020-01-03,"80,34"
485,2020-01-06,"80,28"
486,2020-01-08,"81,18"
487,2020-01-09,"81,49"
488,2020-01-10,"81,78"
489,2020-01-13,"82,82"
490,2020-01-14,"82,66"
491,2020-01-15,"82,84"
492,2020-01-16,"83,38"
493,2020-01-17,"84,54"
494,2020-01-20,"85,18"
495,2020-01-21,"84,63"
496,2020-01-22,"84,09"
497,2020-01-23,"84,19"
498,2020-01-24,"84,41"
499,2020-01-27,"82,61"
500,2020-01-28,"83,43"
501,2020-01-29,"83,81"
502,2020-01-30,"83,5"
503,2020-01-31,"82,96"
504,2020-02-03,"82,95"
505,2020-02-04,"83,47"
506,2020-02-05,"83,63"
507,2020-02-06,"82,99"
508,2020-02-07,"82,81"
509,2020-02-10,"82,25"
510,2020-02-11,"82,88"
511,2020-02-12,"83,18"
512,2020-02-13,"83,03"
513,2020-02-14,"82,91"
514,2020-02-17,"83,24"
515,2020-02-18,"82,69"
516,2020-02-19,"83,36"
517,2020-02-20,"83,38"
518,2020-02-21,"82,93"
519,2020-02-25,"81,06"
520,2020-02-26,"81,33"
521,2020-02-27,"79,59"
522,2020-02-28,"77,08"
523,2020-03-02,"76,92"
524,2020-03-03,"77,33"
525,2020-03-04,"77,41"
526,2020-03-05,"77,21"
527,2020-03-06,"76,32"
528,2020-03-10,"74,63"
529,2020-03-11,"74,27"
530,2020-03-12,"72,24"
531,2020-03-13,"72,33"
532,2020-03-16,"72,14"
533,2020-03-17,"71,78"
534,2020-03-18,"70,83"
535,2020-03-19,"72,33"
536,2020-03-20,"72,68"
537,2020-03-23,"72,33"
538,2020-03-24,"73,2"
539,2020-03-25,"73,42"
540,2020-03-26,"73,52"
541,2020-03-27,"73,18"
542,2020-03-30,"73,32"
543,2020-03-31,"73,73"
544,2020-04-01,"73,59"
545,2020-04-02,"73,86"
546,2020-04-03,"73,99"
547,2020-04-06,"74,24"
548,2020-04-07,"74,3"
549,2020-04-08,"74,5"
550,2020-04-09,"74,68"
551,2020-04-10,"74,56"
552,2020-04-13,"74,28"
553,2020-04-14,"74,31"
554,2020-04-15,"73,64"
555,2020-04-16,"73,72"
556,2020-04-17,"73,97"
557,2020-04-20,"74,04"
558,2020-04-21,"73,77"
559,2020-04-22,"74,39"
560,2020-04-23,"74,64"
561,2020-04-24,"74,3"
562,2020-04-27,"74,53"
563,2020-04-28,"74,93"
564,2020-04-29,"75,14"
565,2020-04-30,"75,08"
566,2020-05-04,"74,82"
567,2020-05-05,"75,13"
568,2020-05-06,"75,03"
569,2020-05-07,"75,01"
570,2020-05-08,"75,13"
571,2020-05-12,"75,16"
572,2020-05-13,"74,75"
573,2020-05-14,"74,34"
574,2020-05-15,"74,42"
575,2020-05-18,"75,46"
576,2020-05-19,"75,68"
577,2020-05-20,"76,56"
578,2020-05-21,"75,85"
579,2020-05-22,"75,78"
580,2020-05-25,"76,38"
581,2020-05-26,"76,39"
582,2020-05-27,"76,38"
583,2020-05-28,"76,96"
584,2020-05-29,"76,31"
585,2020-06-01,"76,61"
586,2020-06-02,"77,22"
587,2020-06-03,"77,68"
588,2020-06-04,"77,24"
589,2020-06-05,"77,56"
590,2020-06-08,"77,43"
591,2020-06-09,"77,38"
592,2020-06-10,"77,29"
593,2020-06-11,"76,57"
594,2020-06-15,"76,26"
595,2020-06-16,"76,61"
596,2020-06-17,"76,51"
597,2020-06-18,"76,29"
598,2020-06-19,"76,46"
599,2020-06-22,"76,39"
600,2020-06-23,"76,55"
601,2020-06-25,76
602,2020-06-26,"75,84"
603,2020-06-29,"75,62"
604,2020-06-30,"75,42"
605,2020-07-02,"76,01"
606,2020-07-03,"76,27"
607,2020-07-06,"76,78"
608,2020-07-07,"76,65"
609,2020-07-08,"76,74"
610,2020-07-09,"76,38"
611,2020-07-10,"76,51"
612,2020-07-13,"75,91"
613,2020-07-14,"75,87"
614,2020-07-15,"76,38"
615,2020-07-16,"76,54"
616,2020-07-17,"76,73"
617,2020-07-20,"77,13"
618,2020-07-21,"77,46"
619,2020-07-22,"77,54"
620,2020-07-23,"77,8"
621,2020-07-24,"77,71"
622,2020-07-27,"78,11"
623,2020-07-28,"78,79"
624,2020-07-29,"79,51"
625,2020-07-30,"78,36"
626,2020-07-31,"79,24"
627,2020-08-03,"79,76"
628,2020-08-04,"80,5"
629,2020-08-05,"81,4"
630,2020-08-06,"81,1"
631,2020-08-07,"80,52"
632,2020-08-10,"80,48"
633,2020-08-11,82
634,2020-08-12,"83,09"
635,2020-08-13,"83,64"
636,2020-08-14,"83,49"
637,2020-08-17,"83,04"
638,2020-08-18,"83,03"
639,2020-08-19,"83,17"
640,2020-08-20,82
641,2020-08-21,"82,18"
642,2020-08-24,"82,54"
643,2020-08-25,"82,45"
644,2020-08-26,"82,58"
645,2020-08-27,"82,06"
646,2020-08-28,"81,36"
647,2020-08-31,"80,88"
648,2020-09-01,"81,07"
649,2020-09-02,"80,91"
650,2020-09-03,"80,53"
651,2020-09-04,"80,51"
652,2020-09-07,"80,55"
653,2020-09-08,"80,2"
654,2020-09-09,"80,24"
655,2020-09-10,"80,63"
656,2020-09-11,"80,54"
657,2020-09-14,"81,16"
658,2020-09-15,"82,32"
659,2020-09-16,"82,29"
660,2020-09-17,"82,38"
661,2020-09-18,"82,25"
662,2020-09-21,"80,03"
663,2020-09-22,"80,49"
664,2020-09-23,"80,91"
665,2020-09-24,"80,99"
666,2020-09-25,"81,02"
667,2020-09-28,"81,49"
668,2020-09-29,"81,45"
669,2020-09-30,"81,23"
670,2020-10-01,"80,94"
671,2020-10-02,"81,46"
672,2020-10-05,"82,09"
673,2020-10-06,"82,34"
674,2020-10-07,"81,66"
675,2020-10-08,"81,82"
676,2020-10-09,"81,62"
677,2020-10-12,"81,9"
678,2020-10-13,"81,65"
679,2020-10-14,"82,17"
680,2020-10-15,"81,36"
681,2020-10-16,"81,11"
682,2020-10-19,"80,87"
683,2020-10-20,"81,48"
684,2020-10-21,"81,3"
685,2020-10-22,"81,75"
686,2020-10-23,"81,93"
687,2020-10-26,"81,29"
688,2020-10-27,"80,54"
689,2020-10-28,"79,28"
690,2020-10-29,"79,67"
691,2020-10-30,"79,47"
692,2020-11-02,"80,16"
693,2020-11-03,"81,2"
694,2020-11-05,"82,09"
695,2020-11-06,"82,81"
696,2020-11-09,"84,63"
697,2020-11-10,"84,78"
698,2020-11-11,"85,5"
699,2020-11-12,"85,46"
700,2020-11-13,"85,53"
701,2020-11-16,"86,38"
702,2020-11-17,"86,28"
703,2020-11-18,"86,65"
704,2020-11-19,"86,25"
705,2020-11-20,"86,47"
706,2020-11-23,"86,51"
707,2020-11-24,"87,17"
708,2020-11-25,"87,27"
709,2020-11-26,"87,22"
710,2020-11-27,"87,43"
711,2020-11-30,"86,53"
712,2020-12-01,"87,27"
713,2020-12-02,"87,97"
714,2020-12-03,"87,44"
715,2020-12-04,"87,85"
716,2020-12-07,"88,16"
717,2020-12-08,"87,74"
718,2020-12-09,"88,24"
719,2020-12-10,"89,19"
720,2020-12-11,"89,37"
721,2020-12-14,"89,17"
722,2020-12-15,"89,3"
723,2020-12-16,"89,46"
724,2020-12-17,"89,45"
725,2020-12-18,"89,55"
726,2020-12-21,"88,18"
727,2020-12-22,"89,56"
728,2020-12-23,"89,84"
729,2020-12-24,"89,94"
730,2020-12-25,"90,21"
731,2020-12-28,"90,41"
732,2020-12-29,"90,45"
733,2020-12-30,"90,23"
734,2021-01-04,"91,16"
735,2021-01-05,"91,6"
736,2021-01-06,"91,88"
737,2021-01-08,"93,35"
738,2021-01-11,"93,72"
739,2021-01-12,"93,62"
740,2021-01-13,"93,61"
741,2021-01-14,"94,65"
742,2021-01-15,"94,26"
743,2021-01-18,"94,54"
744,2021-01-19,"94,39"
745,2021-01-20,"94,52"
746,2021-01-21,"93,93"
747,2021-01-22,"93,47"
