DATE,OPEN
2009-01-11,619.53
2009-01-12,635.4
2009-01-13,653.28
2009-01-14,655.16
2009-01-15,610.36
2009-01-16,606.95
2009-01-19,608.64
2009-01-20,586.97
2009-01-21,569.78
2009-01-22,583.39
2009-01-23,557.57
2009-01-26,553.62
2009-01-27,613.56
2009-01-28,602.9
2009-01-29,622.58
2009-01-30,619.27
2009-02-02,624.86
2009-02-03,626.45
2009-02-04,626.01
2009-02-05,635.89
2009-02-06,623.19
2009-02-09,656.06
2009-02-10,698.67
2009-02-11,728.01
2009-02-12,726.7
2009-02-13,690.34
2009-02-16,732.17
2009-02-17,711.98
2009-02-18,645.18
2009-02-19,628.04
2009-02-20,646.42
2009-02-24,631.6
2009-02-25,629.29
2009-02-26,633.9
2009-02-27,672.32
2009-03-02,666.02
2009-03-03,646.23
2009-03-04,654.14
2009-03-05,685.65
2009-03-06,671.91
2009-03-10,688.97
2009-03-11,750.19
2009-03-12,738.95
2009-03-13,728.3
2009-03-16,749.27
2009-03-17,762.75
2009-03-18,772.46
2009-03-19,743.13
2009-03-20,784.94
2009-03-23,792.05
2009-03-24,849.94
2009-03-25,815.88
2009-03-26,851.38
2009-03-27,849.53
2009-03-30,815.21
2009-03-31,763.36
2009-04-01,772.93
2009-04-02,787.26
2009-04-03,837.91
2009-04-06,837.89
2009-04-07,836.05
2009-04-08,843.24
2009-04-09,872.93
2009-04-10,922.68
2009-04-13,927.38
2009-04-14,904.82
2009-04-15,918.61
2009-04-16,906.01
2009-04-17,917.1
2009-04-20,932.9
2009-04-21,882.15
2009-04-22,877.23
2009-04-23,904.93
2009-04-24,928.14
2009-04-27,922.99
2009-04-28,902.45
2009-04-29,887.52
2009-04-30,922.05
2009-05-04,920.38
2009-05-05,957.78
2009-05-06,957.04
2009-05-07,986.12
2009-05-08,1011.67
2009-05-12,1028.9
2009-05-13,1059.58
2009-05-14,1007.84
2009-05-15,1000.65
2009-05-18,1002.19
2009-05-19,1012.89
2009-05-20,1041.84
2009-05-21,1094.73
2009-05-22,1034.45
2009-05-25,1054.14
2009-05-26,1050.95
2009-05-27,1041.13
2009-05-28,1059.58
2009-05-29,1075.02
2009-06-01,1123.4
2009-06-02,1206.21
2009-06-03,1198.6
2009-06-04,1108.86
2009-06-05,1125.13
2009-06-08,1143.5
2009-06-09,1120.33
2009-06-10,1113.85
2009-06-11,1133.69
2009-06-15,1138.24
2009-06-16,1078.09
2009-06-17,1099.37
2009-06-18,1039.43
2009-06-19,1020.98
2009-06-22,1017.29
2009-06-23,937.97
2009-06-24,917.31
2009-06-25,984.89
2009-06-26,961.4
2009-06-29,960.15
2009-06-30,989.38
2009-07-01,971.55
2009-07-02,1012.48
2009-07-03,977.08
2009-07-06,974.04
2009-07-07,925.2
2009-07-08,927.01
2009-07-09,904.58
2009-07-10,896.2
2009-07-13,871.31
2009-07-14,881.23
2009-07-15,892.05
2009-07-16,941.21
2009-07-17,938.73
2009-07-20,966.39
2009-07-21,985.81
2009-07-22,1002.88
2009-07-23,980.71
2009-07-24,1031.45
2009-07-27,1026.95
2009-07-28,1036.55
2009-07-29,1002.24
2009-07-30,986.8
2009-07-31,1046.65
2009-08-03,1053.33
2009-08-04,1098.94
2009-08-05,1102.09
2009-08-06,1084.18
2009-08-07,1091.87
2009-08-10,1115.36
2009-08-11,1101.19
2009-08-12,1069.25
2009-08-13,1086.52
2009-08-14,1100.57
2009-08-17,1071.86
2009-08-18,1035.41
2009-08-19,1035.5
2009-08-20,1034.08
2009-08-21,1062.87
2009-08-24,1106.05
2009-08-25,1120.52
2009-08-26,1115.85
2009-08-27,1099.72
2009-08-28,1080.05
2009-08-31,1111.32
2009-09-01,1092.04
2009-09-02,1104.79
2009-09-03,1076.71
2009-09-04,1093.72
2009-09-07,1086.09
2009-09-08,1111.92
2009-09-09,1149.78
2009-09-10,1159.95
2009-09-11,1154.19
2009-09-14,1175.13
2009-09-15,1175.01
2009-09-16,1203.97
2009-09-17,1217.67
2009-09-18,1205.04
2009-09-21,1208.43
2009-09-22,1165.24
2009-09-23,1202.92
2009-09-24,1198.83
2009-09-25,1177.23
2009-09-28,1187.86
2009-09-29,1208.19
2009-09-30,1212.75
2009-10-01,1197.39
2009-10-02,1211.38
2009-10-05,1176.01
2009-10-06,1178.22
2009-10-07,1220.48
